programming_skills_count,ml_skills_count,sql_proficiency,cloud_skills_count,projects_count,certifications_count,experience_years,education_tier,ats_score,resume_match_score,is_employable
5,2,1,4,1,2,6.0,2,69.8,65.5,1
2,2,10,1,2,0,2.9,2,43.7,55.1,0
6,3,3,1,1,4,1.2,2,50.9,57.0,0
9,4,10,2,0,3,0.2,2,62.5,58.7,0
2,1,3,0,5,3,1.1,2,56.2,30.1,0
10,0,8,2,3,2,1.2,2,67.1,58.3,1
2,0,9,3,0,1,3.9,2,43.7,49.2,0
3,4,1,1,4,1,3.0,1,63.2,50.0,0
7,5,2,1,3,4,6.5,3,61.3,68.1,1
6,5,10,1,2,1,1.9,2,59.0,46.9,0
8,3,2,0,3,3,0.4,3,62.7,56.3,0
8,3,4,0,5,1,3.7,2,71.0,50.4,1
6,4,2,4,1,4,4.3,2,61.9,62.4,0
11,3,7,2,5,3,2.5,2,75.6,58.8,1
10,0,9,2,5,1,4.4,2,72.9,59.6,1
3,0,7,3,1,3,2.0,4,47.7,45.2,0
3,1,6,1,3,2,2.2,2,42.9,44.8,0
1,5,10,0,4,2,1.7,3,53.4,28.6,0
7,4,1,3,1,2,0.1,3,58.2,68.6,1
5,2,10,3,1,1,0.3,2,45.1,47.1,0
4,5,9,0,2,4,0.1,3,43.6,41.5,0
10,2,5,2,3,3,3.0,2,65.3,76.7,1
4,1,5,1,1,0,1.1,4,47.6,46.2,0
4,1,6,2,4,2,2.1,2,58.3,48.3,0
6,3,9,3,0,2,7.1,1,68.6,69.4,1
8,1,8,1,3,0,0.9,3,70.3,51.1,1
8,1,8,4,2,0,1.6,2,65.0,59.8,1
5,2,8,3,5,1,4.2,2,65.6,64.9,1
6,3,1,2,1,3,0.8,2,46.3,49.3,0
4,1,1,2,4,2,0.2,2,64.2,54.0,0
11,5,8,2,3,4,1.0,2,66.8,71.9,1
9,1,5,0,4,1,0.5,3,67.3,54.6,0
8,3,9,3,4,1,8.0,1,78.3,81.6,1
10,4,2,1,5,4,5.0,2,77.3,63.6,1
10,3,9,2,2,4,3.0,1,73.4,72.9,1
1,2,8,2,3,4,6.2,2,56.7,56.0,1
2,4,9,0,1,0,4.9,3,55.2,41.7,0
9,5,4,1,2,2,0.6,3,63.4,54.1,0
8,0,1,3,1,0,6.7,3,64.9,74.8,1
3,3,1,4,0,2,2.3,2,45.5,69.5,0
8,2,5,0,4,0,4.9,2,69.6,57.3,1
1,5,2,3,0,3,6.8,3,39.7,52.1,0
10,4,8,4,4,2,1.1,3,62.7,79.3,1
4,5,10,2,5,1,0.3,2,61.3,48.1,1
3,3,5,2,2,2,0.8,2,40.2,52.0,0
6,1,5,1,1,2,1.7,3,50.8,61.8,0
7,3,2,4,5,2,5.1,2,64.3,57.4,1
4,0,7,2,1,3,5.9,2,52.4,57.4,0
7,3,8,2,2,0,0.0,2,54.5,52.9,0
9,4,10,1,3,1,2.1,1,63.1,53.1,1
11,4,1,3,0,0,1.6,2,53.1,57.5,1
2,3,2,2,0,0,0.8,2,39.4,32.2,0
11,4,10,0,1,4,0.4,2,56.5,58.9,0
3,1,4,0,1,3,1.2,1,42.1,36.0,0
5,5,5,3,1,4,8.6,2,65.8,62.8,1
3,3,2,4,2,3,1.2,2,54.1,54.3,0
11,1,1,1,3,0,2.2,3,62.1,60.1,1
8,5,9,0,0,0,3.6,4,67.5,65.6,1
10,5,1,0,5,3,1.4,2,68.5,53.1,0
8,1,4,3,4,0,10.7,2,75.0,90.3,1
8,2,2,4,2,0,9.8,3,67.0,81.5,1
9,3,4,4,0,1,0.9,2,56.4,63.5,1
4,5,8,3,3,4,2.1,2,66.3,49.1,0
5,5,8,0,2,4,1.1,3,43.4,55.0,0
5,4,9,1,5,4,1.0,1,47.7,52.7,0
8,5,5,0,0,2,0.1,3,54.4,44.9,0
7,1,7,4,2,1,2.8,3,63.0,67.4,1
9,5,3,0,0,4,2.1,1,58.3,39.8,0
8,2,10,1,0,4,0.2,1,56.4,44.5,0
2,3,4,2,3,1,1.0,1,41.6,38.5,0
10,3,10,0,4,0,7.2,2,72.1,62.5,1
4,5,9,3,3,4,0.8,2,53.3,60.5,0
6,0,10,2,0,0,0.5,2,59.5,39.4,0
2,0,10,3,2,4,2.0,2,50.8,39.1,0
7,1,1,3,5,3,12.7,3,85.6,84.1,1
3,0,2,3,3,2,0.8,2,43.9,51.1,0
3,1,5,0,4,4,3.3,1,59.2,41.1,0
11,4,3,4,0,3,4.3,2,58.6,93.6,1
2,1,2,2,5,1,0.8,2,63.7,47.8,0
11,0,1,1,3,3,3.9,2,66.5,76.6,1
8,5,10,4,3,1,1.4,2,57.4,66.1,1
6,4,3,0,3,4,3.0,2,51.4,46.6,0
1,0,1,3,3,1,3.0,3,49.7,44.7,0
1,1,1,1,5,3,2.3,4,53.4,46.6,0
7,2,1,2,2,2,0.3,2,64.9,60.4,1
8,3,8,4,4,0,5.4,2,75.4,72.2,1
5,0,3,4,4,0,1.2,2,53.0,61.9,0
11,1,1,1,0,2,0.6,2,65.4,68.9,0
5,4,7,0,1,0,0.1,2,41.2,38.8,0
4,0,10,2,2,4,2.7,3,48.5,49.4,0
6,0,3,1,0,4,3.4,2,54.0,57.7,0
6,3,8,3,0,3,0.1,2,41.5,43.1,0
3,1,4,2,3,3,2.2,2,58.7,51.6,0
9,2,4,4,1,1,0.8,4,72.1,60.0,1
11,4,5,1,1,3,3.1,3,64.6,73.2,1
7,1,6,4,2,4,0.6,1,52.4,77.6,1
1,4,7,4,1,3,3.5,2,44.2,48.0,0
7,0,4,4,0,0,1.5,2,49.3,54.7,0
5,3,8,0,1,1,8.3,2,62.5,56.1,1
5,3,6,4,1,1,0.4,2,41.2,55.4,0
2,5,1,3,4,4,1.3,3,53.2,52.4,0
4,2,1,3,0,3,0.4,3,55.8,52.8,0
6,3,9,2,5,0,7.8,4,60.3,63.9,1
10,0,10,4,1,3,6.3,2,61.9,81.0,1
11,2,6,4,1,2,0.9,3,60.4,65.3,1
7,1,10,1,3,3,3.2,3,66.0,62.6,1
11,3,8,0,1,4,5.1,2,74.7,78.0,1
5,2,7,2,1,3,2.4,3,57.0,45.5,0
9,0,6,4,4,1,2.3,1,58.0,59.5,1
3,5,4,1,0,0,0.8,3,38.8,39.7,0
1,4,7,0,2,4,0.3,2,37.2,24.5,0
4,4,9,2,0,2,6.8,2,53.6,50.4,0
9,0,10,2,3,0,6.9,2,72.8,62.1,1
4,0,10,4,0,0,3.0,2,40.1,58.1,0
2,4,7,2,1,1,1.2,2,41.1,41.4,0
10,5,1,1,3,1,1.3,1,69.9,63.4,1
5,2,10,2,0,1,3.9,2,48.1,52.5,0
3,4,9,3,3,4,6.8,2,58.1,51.8,1
9,0,4,1,2,3,6.5,3,79.8,67.7,1
4,3,3,0,0,0,4.5,3,62.6,40.8,0
6,1,4,0,5,3,3.1,2,52.4,54.1,0
2,5,4,4,1,3,0.3,3,43.0,37.8,0
6,5,10,4,3,1,0.5,2,74.0,44.8,1
3,3,2,3,5,3,6.9,3,67.3,49.1,1
9,3,1,0,5,0,2.8,2,71.6,54.6,1
11,0,10,0,4,0,0.0,2,77.1,55.5,1
2,4,1,0,3,2,0.3,2,48.7,36.5,0
9,2,8,0,5,4,3.3,1,76.5,54.4,1
5,5,2,2,4,3,0.0,3,54.8,43.6,0
8,5,10,1,5,4,0.5,3,67.1,64.5,1
2,3,5,1,1,4,2.4,2,48.0,51.0,0
6,4,4,3,2,4,3.5,2,63.7,68.8,1
3,5,8,2,4,4,3.2,3,53.8,52.4,0
10,2,2,0,2,0,0.8,3,60.4,59.1,0
5,3,10,0,3,3,3.7,2,47.5,43.6,0
8,2,9,4,1,2,0.8,2,54.0,66.5,1
10,4,7,4,4,4,1.2,2,74.5,64.5,1
1,5,7,3,3,2,4.1,2,53.7,43.0,0
5,1,1,0,5,0,3.1,2,57.2,36.8,0
3,5,2,3,0,0,5.7,2,38.7,61.1,0
4,4,4,2,3,1,3.2,3,55.3,53.9,1
2,5,4,1,2,4,2.5,2,53.7,40.9,0
9,5,3,0,1,1,0.3,4,54.9,50.0,0
3,0,7,2,1,2,1.4,3,37.5,34.2,0
2,5,8,0,3,3,0.9,3,44.7,38.5,0
10,5,2,4,5,1,0.8,2,72.7,68.3,1
11,2,4,3,0,0,10.8,3,82.9,93.8,1
9,1,3,4,2,4,1.5,1,60.5,70.2,0
7,2,2,1,3,2,6.7,2,74.2,68.0,1
6,2,6,4,3,0,3.0,2,65.9,64.3,1
1,3,4,0,1,3,4.8,2,39.8,42.3,0
5,0,6,4,2,4,2.1,3,61.6,66.8,1
11,2,2,0,0,3,2.6,3,64.8,60.8,0
11,4,4,1,1,3,2.0,1,57.5,68.0,1
3,4,6,4,3,4,0.7,2,60.6,49.6,0
1,5,5,3,1,4,3.8,2,44.7,49.0,0
4,3,3,3,1,3,1.0,2,36.1,63.4,0
2,0,8,3,4,2,0.1,3,45.3,50.1,0
2,0,7,4,1,4,3.1,2,40.9,50.8,0
3,5,3,4,5,0,0.6,3,50.9,55.5,1
8,4,6,4,1,1,8.5,2,65.1,70.3,1
8,1,4,0,5,2,9.2,2,77.4,65.1,1
7,3,5,1,2,4,7.4,2,64.7,57.6,0
6,5,5,3,1,4,1.4,2,52.2,61.2,0
9,3,7,0,0,2,0.0,2,58.4,51.3,0
4,4,5,3,5,1,7.9,3,63.7,66.7,1
1,4,3,0,5,3,1.7,3,59.3,40.9,0
8,1,10,4,3,0,10.2,2,68.1,79.1,1
7,1,5,3,2,4,9.9,2,74.0,72.9,1
7,0,7,4,1,1,5.8,1,71.4,71.6,1
3,3,5,3,0,0,1.0,2,42.1,43.9,0
4,3,5,2,3,2,1.5,2,54.6,49.5,0
10,4,9,0,2,4,5.7,1,64.8,65.6,1
9,0,3,2,5,3,1.1,3,65.9,63.2,1
6,5,6,0,0,2,0.6,2,58.4,48.9,0
5,3,1,1,1,4,2.4,3,56.7,39.2,0
3,0,10,3,4,1,8.3,2,66.5,53.9,1
9,0,5,1,4,0,3.6,3,58.5,54.3,1
5,4,8,1,2,0,2.5,2,50.5,51.2,0
5,0,5,0,0,4,0.3,2,56.9,41.1,0
4,1,9,2,3,2,2.9,4,58.1,36.3,0
4,1,6,4,0,3,13.8,2,67.8,92.5,1
1,2,8,0,5,1,0.5,1,51.4,20.0,0
7,4,10,4,4,4,2.2,3,60.0,65.7,1
9,5,8,1,2,1,6.3,3,71.2,71.3,1
3,2,3,4,1,0,4.1,3,41.0,53.8,0
2,1,7,2,0,3,3.6,2,35.1,52.9,0
3,2,7,0,4,1,3.6,2,52.6,37.0,0
1,4,10,2,3,4,1.3,4,47.9,43.1,0
6,4,6,2,2,3,1.0,1,45.3,38.6,0
11,0,7,0,1,2,5.0,2,69.9,74.7,1
11,3,2,2,0,4,5.0,2,60.7,73.5,1
7,0,9,3,3,1,6.1,2,61.8,57.7,1
11,4,10,3,1,3,7.3,2,80.5,85.6,1
11,1,10,3,5,4,2.1,2,75.1,83.3,1
2,5,1,4,4,3,2.1,2,47.1,46.3,0
8,1,1,2,5,3,4.8,2,73.4,64.2,1
6,0,3,0,4,3,3.1,2,54.1,47.1,1
4,5,3,0,3,1,3.6,2,59.0,41.1,0
5,4,1,4,5,4,4.8,3,72.3,58.9,1
8,1,7,0,4,0,6.6,2,76.5,57.4,1
3,4,4,3,2,0,1.2,2,61.4,46.1,0
3,5,10,2,3,1,1.4,3,39.6,44.5,0
11,5,2,0,4,1,0.3,2,70.4,55.0,1
4,1,10,0,0,3,2.6,2,39.6,50.0,0
1,4,5,1,4,4,0.1,2,46.3,40.9,0
9,2,6,1,5,4,1.9,3,70.1,48.6,1
8,4,9,1,2,2,2.3,3,74.8,53.6,1
8,5,4,2,1,2,1.0,3,56.3,67.6,1
10,4,2,3,1,0,2.7,3,63.1,72.4,1
6,0,5,3,4,2,0.1,2,64.4,58.0,0
7,2,3,3,1,2,0.1,1,52.8,59.9,0
6,3,2,2,4,0,5.2,2,77.0,59.5,1
9,0,1,2,2,0,1.3,2,65.8,61.6,1
3,3,10,1,1,2,0.4,2,49.7,38.9,0
3,1,2,0,5,4,2.2,2,46.2,47.5,0
3,3,6,4,5,2,4.4,1,72.6,56.7,1
10,4,8,4,0,3,0.7,3,54.2,69.5,1
3,3,3,0,4,3,2.9,2,55.9,47.9,0
9,5,9,1,1,3,0.3,2,53.8,54.2,0
4,0,9,0,5,1,0.2,2,50.4,39.8,0
7,0,2,0,2,3,2.3,2,51.6,49.1,0
9,3,8,4,2,4,2.3,2,63.9,70.1,1
11,0,10,1,0,1,3.0,1,51.9,64.2,0
7,5,5,2,2,1,3.9,2,59.8,57.7,0
9,0,4,4,2,3,11.2,3,82.9,81.7,1
3,3,10,2,1,2,2.2,3,51.2,47.2,0
4,2,5,1,4,0,1.2,2,58.1,52.7,0
8,2,4,0,3,2,4.8,2,61.9,62.9,0
6,1,8,3,2,2,0.9,2,45.1,46.2,0
5,0,4,3,2,1,1.7,3,59.9,53.1,0
4,3,10,1,3,1,0.2,2,49.0,39.5,0
8,0,6,3,2,1,0.1,2,57.2,49.7,0
1,4,2,2,1,4,9.9,3,53.3,59.2,0
9,5,5,3,1,4,5.4,2,69.5,72.1,1
1,0,6,1,3,0,3.6,1,61.1,56.6,0
8,0,5,1,5,1,1.6,2,76.2,54.0,1
4,2,2,2,2,3,0.6,2,35.7,42.6,0
9,5,7,3,5,1,0.5,2,66.2,57.8,1
11,3,4,3,2,4,0.9,2,57.4,66.4,1
5,0,8,0,4,1,2.4,3,65.2,50.9,0
3,2,7,4,2,4,3.8,2,52.3,63.2,0
9,1,7,1,1,1,3.2,2,65.8,82.3,1
11,5,9,0,0,3,1.0,2,58.3,50.8,0
9,2,1,1,0,0,9.3,3,62.5,73.3,1
4,2,10,0,0,3,4.0,2,44.6,42.4,0
11,2,6,4,0,4,2.4,2,53.6,78.3,1
4,0,6,0,5,2,2.8,2,53.0,54.8,0
8,0,6,1,5,3,1.6,3,58.7,62.5,1
2,1,6,3,2,1,0.9,2,39.5,38.6,0
9,4,10,1,5,0,1.3,2,62.7,63.2,1
6,4,7,2,2,1,4.3,2,61.9,44.9,0
9,4,10,2,4,1,0.0,3,67.0,42.9,0
8,5,6,2,2,3,0.4,2,60.5,55.9,1
7,5,1,2,0,0,0.1,2,57.7,59.0,0
1,1,3,4,3,2,0.1,3,44.4,49.2,0
3,5,2,3,3,1,5.8,3,53.1,71.8,0
11,4,6,3,1,0,3.6,2,80.4,75.3,1
2,4,8,1,1,2,1.9,4,50.2,41.2,0
5,2,3,0,2,1,0.3,1,52.4,51.1,0
5,5,10,1,3,0,2.0,2,57.0,47.0,0
5,0,8,1,0,3,1.9,3,50.6,52.2,0
4,0,8,1,5,1,0.6,2,55.9,47.7,0
5,2,5,1,0,1,1.7,2,49.3,42.3,0
3,2,8,3,0,0,1.5,2,46.9,53.5,0
1,2,6,0,2,1,2.9,2,42.1,53.0,0
5,0,5,1,2,2,3.0,2,45.7,59.4,0
9,4,9,3,4,1,0.1,3,52.6,57.4,1
9,2,7,1,0,4,1.4,3,62.2,74.9,1
4,1,8,2,0,2,2.9,2,38.7,57.1,0
3,2,1,1,2,0,2.1,2,52.5,47.7,0
1,3,2,1,2,2,5.8,3,44.0,45.8,0
2,2,8,4,4,4,3.2,2,47.4,59.6,1
8,0,9,2,4,4,0.5,2,59.1,58.7,1
1,5,4,0,1,1,0.2,1,41.2,33.0,0
8,2,10,1,3,1,3.1,2,57.0,58.1,1
7,5,10,0,0,3,0.1,1,46.8,54.5,0
8,3,9,2,0,2,2.6,2,56.4,67.8,0
6,1,4,1,4,3,8.5,2,63.6,62.7,1
9,5,10,4,4,4,2.6,2,77.2,60.5,1
3,4,10,3,1,1,1.5,2,36.0,50.9,0
10,2,10,4,3,1,3.1,3,67.8,69.5,1
4,3,9,4,1,1,1.8,3,56.7,54.0,0
6,3,7,3,3,0,2.4,2,51.3,58.9,0
8,5,2,3,5,4,8.5,2,77.2,68.4,1
5,1,9,3,0,1,1.5,4,49.0,44.4,0
3,0,4,1,1,4,9.7,1,53.9,60.6,0
6,2,8,0,4,1,7.1,3,68.3,57.9,0
4,3,7,0,1,2,0.7,2,50.6,41.1,0
9,1,7,3,5,4,0.2,3,64.8,67.0,1
3,4,8,4,1,3,0.3,2,49.2,47.5,0
4,3,1,2,0,0,0.1,2,46.2,49.4,0
7,1,5,3,5,3,0.3,2,59.8,67.9,1
7,0,2,4,4,4,3.4,2,72.3,65.9,1
4,0,2,4,4,1,0.2,2,49.7,67.7,0
6,3,1,1,2,4,1.2,2,60.1,50.9,0
3,3,5,1,5,0,5.6,3,58.1,45.1,0
6,5,2,0,2,4,0.1,1,51.4,51.1,0
2,2,4,0,2,1,5.1,1,51.0,43.3,0
8,1,3,2,0,3,1.0,2,56.1,66.2,0
2,3,3,2,1,2,0.4,2,28.0,45.6,0
11,2,2,2,4,3,3.6,2,77.3,68.6,1
7,5,6,2,4,1,3.0,2,64.2,70.5,1
9,2,2,4,1,1,6.3,2,68.5,74.3,1
1,3,8,4,4,0,4.0,2,56.2,38.5,1
8,0,8,0,1,4,4.9,2,64.8,64.9,1
7,1,5,1,5,4,1.0,1,52.3,55.2,0
6,1,10,1,0,3,0.6,1,42.7,58.5,0
6,0,7,3,0,2,4.2,1,56.4,56.8,0
6,3,4,4,0,2,4.9,4,56.8,66.1,1
9,1,1,2,1,0,14.0,2,73.5,82.1,1
2,3,2,2,1,1,1.6,2,48.7,51.4,0
1,5,10,3,3,0,1.4,1,45.3,50.1,0
6,3,10,1,4,4,4.5,1,70.3,58.1,1
10,2,4,2,4,1,1.3,2,76.1,65.8,1
11,0,1,1,3,0,8.0,2,80.4,67.4,1
8,3,8,3,3,3,5.9,4,72.2,76.4,1
3,5,9,1,0,4,1.7,3,40.5,49.5,0
10,4,4,1,3,2,4.2,3,76.1,82.0,1
1,0,10,1,1,0,4.2,2,47.3,46.9,0
9,1,3,2,2,4,0.3,2,58.5,64.5,0
1,2,2,0,1,4,7.0,2,42.9,48.4,0
3,1,5,4,3,2,2.1,3,49.4,50.4,0
8,5,3,1,4,2,5.3,2,63.8,71.7,1
3,5,10,1,1,2,1.2,2,50.4,42.7,0
4,1,7,1,4,0,6.8,2,71.3,54.3,1
8,0,6,0,1,2,1.5,1,62.8,51.7,0
1,1,1,3,4,3,0.0,3,62.2,42.6,0
6,3,8,2,5,4,7.1,2,68.5,61.3,1
1,1,2,0,1,2,0.3,2,43.7,34.5,0
1,2,5,1,4,4,1.2,1,41.8,37.4,0
8,2,9,0,2,1,9.0,3,69.9,64.9,1
11,4,8,0,0,1,9.0,1,63.9,77.2,1
4,2,2,0,1,2,2.6,3,53.5,45.1,0
1,1,9,3,2,4,3.0,2,44.6,44.5,0
10,2,5,4,0,1,1.8,3,47.4,66.9,1
7,0,10,2,1,2,1.0,3,50.4,57.1,0
5,2,6,3,2,4,1.2,2,63.6,49.9,0
5,3,3,3,2,2,3.3,2,58.5,53.3,0
1,0,3,4,5,4,4.2,2,60.6,48.4,0
10,4,10,3,2,1,4.7,2,69.8,75.8,1
11,3,8,0,5,2,4.7,3,77.6,74.3,1
6,1,10,0,3,1,0.3,2,56.2,48.0,0
9,1,10,1,4,2,2.0,2,69.3,65.9,1
9,1,2,3,0,0,0.2,2,48.5,62.8,0
8,3,2,1,4,1,2.4,2,70.8,58.8,0
5,3,5,2,4,1,1.7,3,65.4,64.2,1
1,3,6,0,5,3,6.6,2,58.4,50.1,0
9,0,2,2,4,1,1.3,4,63.6,68.4,1
1,5,5,4,2,4,0.4,3,38.3,45.3,0
8,0,7,0,5,2,0.5,2,76.3,50.8,0
5,1,10,2,4,0,4.3,2,59.7,60.1,0
3,5,10,4,5,4,2.9,3,62.4,52.5,1
11,2,8,2,3,4,0.3,2,66.0,48.5,1
7,1,7,4,5,4,0.3,1,61.8,64.7,1
7,4,8,4,1,4,3.6,2,53.7,74.7,1
9,0,9,0,2,0,0.2,2,54.3,53.3,0
7,3,5,1,0,3,5.2,3,62.6,56.1,0
11,0,5,4,1,1,3.7,2,61.3,75.8,1
3,3,10,4,1,4,0.3,1,47.3,37.8,0
11,5,4,0,1,1,0.3,3,62.6,55.6,0
1,4,9,1,4,1,12.9,3,71.1,51.5,1
8,5,5,3,5,4,1.4,2,63.6,58.1,1
3,4,2,3,5,3,1.4,3,62.7,42.3,0
8,0,10,1,4,1,5.0,2,69.3,53.6,1
8,3,8,2,2,2,8.8,3,86.4,65.9,1
5,5,7,0,4,1,12.8,2,65.5,70.0,1
1,4,8,1,4,4,4.2,2,68.1,40.0,0
10,1,3,3,4,0,1.4,3,68.4,60.3,1
7,1,4,4,2,1,0.3,2,57.1,67.2,1
10,5,5,3,2,3,4.5,4,65.1,74.5,1
5,3,6,4,3,2,2.5,2,47.8,44.4,0
8,5,1,0,3,2,1.7,3,59.4,60.0,0
9,0,4,4,3,0,7.1,3,70.8,79.8,1
11,4,10,1,3,0,0.4,2,68.3,67.0,1
7,0,5,4,5,1,2.0,3,72.7,63.6,1
7,1,7,2,1,4,0.0,2,54.1,65.8,0
1,4,5,1,1,3,1.9,3,43.8,36.7,0
4,5,1,0,3,2,0.2,2,53.9,21.9,0
2,0,7,1,3,0,0.4,3,36.9,33.0,0
2,2,8,2,0,3,0.4,2,30.0,46.2,0
2,3,7,0,1,4,3.1,2,37.6,41.8,0
4,3,4,3,0,2,4.1,2,47.7,57.0,0
1,2,8,2,0,2,2.6,2,29.9,37.3,0
4,1,5,0,4,4,9.8,3,64.4,57.8,1
2,4,10,4,5,2,1.4,2,45.8,51.4,1
5,3,9,1,2,4,1.0,2,55.4,47.6,0
3,2,10,0,1,2,6.1,2,55.9,52.2,0
8,5,5,1,3,1,0.8,2,59.4,56.1,1
4,2,1,4,3,4,9.9,1,54.8,70.1,1
1,1,9,0,2,3,0.0,3,40.8,25.5,0
1,1,5,3,1,1,10.5,4,57.4,71.4,1
10,0,6,2,3,3,0.1,2,69.6,76.1,1
3,3,4,0,3,2,6.7,1,69.6,61.7,1
9,0,6,4,4,3,2.3,2,74.9,75.4,1
7,2,8,0,0,1,14.9,2,73.7,62.5,1
2,4,3,1,3,4,0.2,2,45.5,26.3,0
9,4,5,0,5,0,2.4,3,66.5,53.0,1
10,1,2,3,1,3,10.5,2,83.3,83.9,1
2,4,2,0,5,0,2.2,3,56.2,38.3,0
3,4,7,2,2,3,3.0,2,54.9,51.2,0
11,4,10,0,4,3,3.6,2,71.0,54.2,1
10,2,10,1,1,4,1.8,2,54.8,73.0,1
2,4,10,0,4,2,3.0,2,51.4,50.9,0
3,5,6,3,0,1,2.6,2,43.7,43.6,0
6,4,4,4,3,1,6.9,3,67.3,58.5,1
9,4,5,0,1,1,0.1,2,53.1,52.1,0
9,0,1,0,2,2,1.0,3,61.4,63.1,1
7,2,7,2,0,0,9.0,2,71.0,70.5,1
3,1,8,3,0,1,6.6,2,41.5,61.8,0
4,0,9,4,4,0,1.8,2,43.8,54.2,0
6,3,8,1,0,2,2.9,2,60.0,54.8,0
11,2,5,0,1,2,1.0,2,54.4,65.9,1
5,5,3,4,4,4,0.6,1,54.7,60.5,1
