experience_years,education_tier,skills_count,job_role,location_tier,certifications_count,projects_count,technical_expertise_score,salary
0.2,2,20,Full Stack Engineer,1,2,1,5.8,142500.0
4.8,3,14,Data Scientist,1,1,0,5.5,199200.0
2.3,2,5,Backend Engineer,3,4,4,4.5,122200.0
5.3,2,7,Frontend Engineer,2,2,0,5.3,141400.0
10.5,2,15,DevOps Engineer,1,3,2,7.7,250600.0
5.5,3,5,Data Scientist,1,3,2,6.2,216300.0
2.3,2,4,Data Scientist,2,1,5,5.1,140800.0
0.7,3,9,Machine Learning Engineer,1,1,3,4.3,160500.0
6.6,3,19,Software Engineer,3,3,6,7.5,145200.0
2.5,3,5,Cloud Architect,2,3,2,4.9,178000.0
0.3,3,17,Frontend Engineer,2,2,7,5.1,118900.0
5.1,2,23,Backend Engineer,3,5,4,7.8,154500.0
1.4,2,15,Machine Learning Engineer,1,5,0,5.7,182400.0
0.2,2,22,DevOps Engineer,1,1,2,5.2,135900.0
9.3,3,6,Data Scientist,2,4,2,8.2,222400.0
2.6,3,22,DevOps Engineer,2,3,3,6.8,161600.0
1.3,2,14,DevOps Engineer,1,4,7,4.4,165000.0
5.0,2,7,DevOps Engineer,1,1,2,5.0,189500.0
8.7,2,20,Machine Learning Engineer,1,1,7,6.9,264000.0
0.0,2,20,Cloud Architect,1,0,0,5.4,154900.0
4.7,2,10,Backend Engineer,2,3,5,6.2,164200.0
5.8,2,8,Machine Learning Engineer,2,5,6,7.0,213700.0
0.9,2,22,Machine Learning Engineer,2,5,5,7.4,174400.0
2.7,2,24,Cloud Architect,1,1,7,6.6,198300.0
0.4,2,22,Machine Learning Engineer,1,1,5,5.2,166100.0
5.5,1,12,Data Scientist,1,3,6,6.7,208000.0
7.5,2,20,Data Scientist,1,0,7,7.9,232600.0
0.5,2,12,Software Engineer,1,0,1,5.6,131200.0
6.8,1,17,Full Stack Engineer,1,0,0,6.6,181300.0
5.9,2,8,Frontend Engineer,2,0,2,5.4,151400.0
1.7,2,5,Software Engineer,3,2,2,4.9,107600.0
4.7,2,18,Backend Engineer,1,3,6,8.1,198000.0
0.0,3,19,Machine Learning Engineer,3,3,2,5.9,127900.0
10.7,2,22,Data Scientist,3,3,3,9.6,199200.0
3.2,2,4,Machine Learning Engineer,3,5,4,5.3,151000.0
3.9,2,15,Data Scientist,3,0,0,6.0,131200.0
4.4,2,22,DevOps Engineer,2,0,5,7.3,165600.0
3.3,3,23,Frontend Engineer,2,5,2,7.3,148400.0
7.8,2,18,Software Engineer,1,5,6,8.3,216800.0
3.8,2,8,Software Engineer,2,1,1,5.8,131900.0
9.5,2,4,Backend Engineer,2,2,3,6.8,200500.0
3.5,2,14,DevOps Engineer,2,5,4,7.7,172300.0
0.8,1,12,Software Engineer,2,3,2,6.0,101000.0
9.8,2,10,Software Engineer,2,2,5,7.0,191200.0
4.6,2,5,Full Stack Engineer,2,5,0,7.6,169100.0
4.8,1,20,Cloud Architect,1,3,1,7.6,208500.0
16.9,2,19,Frontend Engineer,2,0,5,7.7,213300.0
0.3,3,19,Machine Learning Engineer,3,0,3,5.2,115600.0
2.2,2,17,Cloud Architect,3,3,0,6.2,138300.0
1.1,2,5,Software Engineer,3,4,6,5.6,118300.0
4.0,2,22,Backend Engineer,1,0,0,6.4,166700.0
6.6,2,6,Machine Learning Engineer,3,1,3,6.3,163000.0
13.6,3,11,Data Scientist,1,5,6,9.5,312400.0
2.4,2,24,DevOps Engineer,3,0,0,5.9,119500.0
6.2,2,22,DevOps Engineer,1,1,7,7.4,205600.0
10.0,2,19,Software Engineer,2,2,6,7.9,191900.0
4.6,2,7,Software Engineer,2,0,6,5.1,146800.0
1.1,2,11,Machine Learning Engineer,2,5,1,5.6,150700.0
3.7,3,4,Cloud Architect,2,0,1,4.5,181400.0
14.0,3,7,Data Scientist,2,5,7,8.7,267200.0
17.5,2,10,Full Stack Engineer,2,2,6,9.1,252400.0
4.1,3,4,Frontend Engineer,1,5,0,7.2,173300.0
8.7,2,21,Full Stack Engineer,2,1,2,7.8,191800.0
0.9,3,7,Cloud Architect,1,4,7,4.1,191200.0
1.1,3,23,Backend Engineer,2,5,0,8.2,152600.0
12.2,2,17,Machine Learning Engineer,1,5,2,10.0,298300.0
0.6,2,11,Software Engineer,2,1,0,3.6,105900.0
0.8,3,21,Full Stack Engineer,2,3,5,6.2,139700.0
2.2,2,10,Frontend Engineer,1,3,4,5.9,148900.0
3.6,2,6,Backend Engineer,2,3,1,5.8,145900.0
3.7,2,24,DevOps Engineer,2,5,0,8.3,176200.0
1.4,3,17,Cloud Architect,3,2,1,6.0,137700.0
10.1,3,15,Full Stack Engineer,3,1,3,7.1,172200.0
9.9,2,18,Software Engineer,2,5,4,7.7,198400.0
2.0,3,11,Frontend Engineer,2,0,2,6.0,132800.0
2.3,2,8,Software Engineer,1,5,7,5.4,172000.0
4.8,4,20,Software Engineer,1,3,3,7.6,204900.0
4.4,2,13,Backend Engineer,1,1,4,5.9,170800.0
1.9,1,14,Frontend Engineer,3,0,3,5.7,92300.0
2.1,1,19,Data Scientist,1,1,1,6.2,162300.0
1.7,2,19,DevOps Engineer,2,2,5,6.4,141600.0
1.1,2,7,Cloud Architect,1,3,4,3.4,173500.0
2.5,3,8,Software Engineer,1,4,3,5.3,162900.0
4.6,2,13,Cloud Architect,1,5,2,7.7,231200.0
5.4,4,17,Frontend Engineer,2,3,4,7.7,177900.0
6.0,2,12,Software Engineer,2,3,4,6.3,167700.0
1.9,2,21,Full Stack Engineer,2,2,3,5.6,140500.0
5.8,2,23,Full Stack Engineer,2,0,5,7.3,171000.0
0.0,3,9,Frontend Engineer,3,3,7,3.2,96900.0
2.6,2,14,DevOps Engineer,3,0,6,4.6,118500.0
6.3,3,24,Backend Engineer,3,0,6,8.5,155200.0
4.0,4,20,Data Scientist,2,2,6,7.9,189700.0
2.6,2,12,Full Stack Engineer,1,3,6,6.3,182300.0
4.1,2,6,Backend Engineer,3,5,0,6.4,130500.0
9.5,3,19,Data Scientist,1,2,2,7.1,244900.0
3.3,3,23,Full Stack Engineer,1,2,2,6.8,177800.0
6.4,2,7,Data Scientist,2,4,6,6.5,198500.0
15.8,2,18,Machine Learning Engineer,2,5,3,10.0,297400.0
4.9,2,5,Software Engineer,1,2,5,5.2,177100.0
3.4,2,23,Frontend Engineer,2,4,1,8.6,147600.0
0.2,2,20,Full Stack Engineer,2,0,1,5.1,111200.0
1.9,2,22,Full Stack Engineer,2,5,6,7.4,157000.0
3.3,2,23,Cloud Architect,2,5,7,8.5,207700.0
6.4,2,19,Software Engineer,2,0,0,6.0,154400.0
2.3,4,22,Full Stack Engineer,1,1,7,6.0,185200.0
12.9,3,24,Full Stack Engineer,1,5,0,10.0,279200.0
1.3,3,20,Machine Learning Engineer,1,1,3,6.1,173400.0
5.5,3,7,Full Stack Engineer,2,0,5,5.0,164300.0
2.2,2,21,Full Stack Engineer,2,3,1,6.8,143900.0
2.7,3,7,Full Stack Engineer,2,1,2,4.4,142600.0
6.5,3,24,Backend Engineer,2,2,5,7.5,185100.0
1.4,3,6,Full Stack Engineer,2,5,1,5.9,147200.0
0.4,2,21,Software Engineer,1,1,5,5.7,133200.0
2.9,2,24,Machine Learning Engineer,1,5,3,8.5,207600.0
3.0,1,23,Full Stack Engineer,3,0,1,5.8,114900.0
6.4,2,8,Data Scientist,2,3,4,6.1,180700.0
13.8,4,12,Machine Learning Engineer,2,0,6,7.8,270400.0
0.2,2,18,Machine Learning Engineer,2,3,3,6.0,140800.0
3.6,3,12,Data Scientist,3,5,4,7.3,163500.0
4.6,2,17,Software Engineer,2,1,7,6.2,152700.0
17.0,2,24,Backend Engineer,1,2,5,10.0,293200.0
11.4,1,5,DevOps Engineer,3,2,3,7.3,181900.0
5.0,2,21,Cloud Architect,1,0,7,6.7,233600.0
3.0,2,16,DevOps Engineer,1,5,2,6.6,189500.0
0.7,2,24,Software Engineer,1,3,3,7.4,147800.0
1.9,2,19,Backend Engineer,2,1,3,5.5,136300.0
3.5,3,9,Frontend Engineer,2,3,6,5.8,140800.0
5.2,2,19,Data Scientist,2,3,3,7.4,181000.0
4.0,3,7,Cloud Architect,3,3,3,5.6,173600.0
5.0,2,13,Machine Learning Engineer,1,5,0,7.1,223800.0
2.2,2,22,Machine Learning Engineer,2,1,4,6.0,159000.0
5.2,2,14,Machine Learning Engineer,2,5,3,6.5,196700.0
0.6,3,8,Data Scientist,3,3,3,5.9,122300.0
0.7,2,21,Data Scientist,1,5,5,6.9,176900.0
0.7,2,6,Cloud Architect,3,2,0,4.4,123000.0
8.9,3,11,DevOps Engineer,1,0,1,6.5,225100.0
0.3,1,14,DevOps Engineer,3,4,7,6.6,104800.0
6.5,1,24,DevOps Engineer,2,3,5,9.6,192200.0
1.1,3,22,Backend Engineer,3,2,5,6.6,131400.0
2.5,2,24,Machine Learning Engineer,1,5,6,7.9,212400.0
9.9,2,6,Software Engineer,1,2,6,6.1,211200.0
3.5,2,15,Backend Engineer,1,0,7,4.8,171200.0
0.9,1,18,Machine Learning Engineer,2,0,0,4.3,129600.0
1.3,2,19,Data Scientist,2,4,7,6.3,157400.0
10.1,2,8,Data Scientist,3,4,0,6.4,187300.0
2.2,3,22,Data Scientist,2,4,6,8.0,179100.0
3.5,2,9,Machine Learning Engineer,1,1,0,5.5,189900.0
2.5,2,15,DevOps Engineer,1,1,5,5.6,167600.0
1.9,3,22,Data Scientist,1,2,5,7.4,189700.0
1.0,2,12,Frontend Engineer,3,5,6,5.5,108700.0
4.6,3,21,Data Scientist,3,0,3,6.2,145200.0
5.1,3,6,Cloud Architect,3,3,0,4.7,163400.0
1.3,2,17,Cloud Architect,2,0,7,5.8,157800.0
6.2,2,24,Machine Learning Engineer,1,1,0,7.2,214200.0
7.7,4,8,DevOps Engineer,1,2,6,6.5,245400.0
10.1,4,8,Backend Engineer,2,3,5,8.0,218100.0
0.7,2,7,Data Scientist,3,4,5,6.0,122600.0
1.4,1,19,DevOps Engineer,1,4,0,6.8,160500.0
7.9,2,16,DevOps Engineer,1,1,3,7.4,216600.0
0.9,2,11,Full Stack Engineer,2,2,2,4.6,113900.0
0.0,2,24,Frontend Engineer,2,5,2,8.4,121900.0
8.2,2,19,Cloud Architect,1,0,7,7.2,250000.0
1.6,3,5,Machine Learning Engineer,3,1,1,4.3,130500.0
2.1,2,11,Data Scientist,1,5,3,6.1,177900.0
2.4,3,6,Full Stack Engineer,3,5,5,6.5,144400.0
7.5,2,12,Machine Learning Engineer,1,0,0,6.4,224100.0
1.6,1,14,Backend Engineer,1,3,6,6.4,158500.0
8.9,2,24,Frontend Engineer,1,0,0,8.3,185100.0
3.8,1,23,DevOps Engineer,1,3,7,7.5,192600.0
3.0,2,4,Data Scientist,2,5,7,6.3,171200.0
1.6,3,4,Backend Engineer,2,2,0,4.7,127600.0
1.1,2,11,Machine Learning Engineer,2,1,7,4.3,146300.0
3.9,3,19,Full Stack Engineer,2,0,7,5.7,156700.0
2.4,2,13,Machine Learning Engineer,1,2,7,5.8,192100.0
9.7,1,5,Cloud Architect,1,2,2,7.2,257700.0
2.7,2,19,Machine Learning Engineer,3,0,6,6.9,139500.0
2.9,3,7,Frontend Engineer,3,4,5,4.7,121300.0
2.2,2,22,Data Scientist,1,5,6,7.7,195000.0
6.2,2,12,Backend Engineer,2,4,0,7.5,177900.0
2.2,3,6,Frontend Engineer,2,3,0,5.4,127600.0
1.3,3,14,Full Stack Engineer,1,2,2,6.2,156100.0
7.9,2,11,DevOps Engineer,2,1,0,7.0,182000.0
3.6,3,10,Data Scientist,2,1,7,4.8,173100.0
3.6,2,4,DevOps Engineer,1,2,6,4.4,184100.0
3.8,3,11,Frontend Engineer,1,4,1,6.7,177500.0
5.1,2,20,Full Stack Engineer,3,5,5,8.8,160900.0
1.5,2,14,Full Stack Engineer,1,2,6,5.7,157000.0
0.1,2,10,Backend Engineer,1,3,4,4.2,140000.0
6.7,2,12,Cloud Architect,2,2,6,6.1,209900.0
0.6,2,17,Machine Learning Engineer,2,0,6,5.6,143800.0
5.1,3,8,Full Stack Engineer,1,4,1,6.2,198100.0
0.3,3,21,Cloud Architect,3,0,7,5.7,132500.0
1.9,2,16,Full Stack Engineer,2,0,3,6.0,132100.0
0.3,2,8,Machine Learning Engineer,1,2,6,3.9,161100.0
3.0,2,11,Software Engineer,2,5,1,6.3,148100.0
4.2,2,18,Full Stack Engineer,2,2,1,6.5,154400.0
0.8,4,7,Data Scientist,1,5,6,5.7,191200.0
1.9,2,4,DevOps Engineer,2,1,6,4.7,141100.0
10.7,2,9,DevOps Engineer,2,5,2,7.4,227300.0
2.3,2,22,Frontend Engineer,2,0,3,6.2,115300.0
6.5,2,15,Machine Learning Engineer,2,2,6,7.5,201600.0
10.5,2,10,Machine Learning Engineer,2,1,5,6.0,227800.0
14.7,2,16,Machine Learning Engineer,1,0,6,8.5,306100.0
9.1,2,10,Data Scientist,2,1,5,6.1,201900.0
1.5,1,12,Machine Learning Engineer,2,4,1,5.6,150200.0
13.1,2,4,Data Scientist,3,3,4,6.2,199300.0
6.7,2,24,Cloud Architect,2,0,1,8.4,202500.0
7.3,1,16,Cloud Architect,2,2,0,7.1,203200.0
0.1,3,22,DevOps Engineer,3,5,2,6.7,123500.0
12.3,2,24,Backend Engineer,1,4,0,10.0,258000.0
6.0,3,4,Software Engineer,1,1,7,4.7,193200.0
5.8,2,23,Machine Learning Engineer,1,3,3,7.4,233300.0
0.3,1,24,DevOps Engineer,1,5,3,8.4,163500.0
1.1,2,22,Software Engineer,2,0,2,7.0,128900.0
13.1,2,21,DevOps Engineer,1,3,1,9.3,279500.0
2.8,3,8,Machine Learning Engineer,1,4,3,6.5,214900.0
2.0,1,6,Data Scientist,1,3,4,5.3,175700.0
7.3,2,5,DevOps Engineer,2,0,6,4.6,176900.0
0.4,3,13,Frontend Engineer,3,4,2,5.3,100900.0
2.2,2,9,Software Engineer,3,1,0,5.9,111000.0
1.9,2,22,Software Engineer,1,0,4,5.3,142600.0
1.7,2,20,Data Scientist,2,3,6,8.1,160700.0
1.5,2,22,Cloud Architect,1,0,6,5.7,176400.0
0.9,2,16,Software Engineer,1,4,5,7.3,160200.0
0.8,2,20,Backend Engineer,3,3,2,6.3,104700.0
4.1,3,21,Data Scientist,2,1,4,7.3,175100.0
10.1,3,14,Software Engineer,1,5,6,9.5,250100.0
2.8,1,23,Software Engineer,2,2,2,7.9,134100.0
1.4,2,23,Software Engineer,1,1,0,6.1,132000.0
0.7,2,16,Data Scientist,1,0,1,4.6,132800.0
7.1,2,14,Cloud Architect,2,2,2,7.0,207200.0
14.2,2,23,Frontend Engineer,1,5,3,10.0,257200.0
1.7,3,22,Full Stack Engineer,3,5,7,7.7,140700.0
1.4,3,13,DevOps Engineer,2,4,0,5.6,147500.0
3.7,2,6,Machine Learning Engineer,3,5,0,6.8,150000.0
6.0,2,24,DevOps Engineer,3,3,4,7.9,160600.0
2.4,2,9,Software Engineer,2,3,3,4.5,124400.0
4.0,2,10,DevOps Engineer,2,4,4,7.2,161600.0
5.0,2,24,Full Stack Engineer,1,5,7,8.8,212500.0
12.9,2,23,Full Stack Engineer,2,0,5,9.0,217800.0
0.7,2,8,Software Engineer,1,1,0,5.1,134200.0
20.0,2,12,Software Engineer,1,2,2,10.0,296400.0
2.0,2,13,Machine Learning Engineer,2,4,5,5.8,174200.0
5.1,4,17,Cloud Architect,2,5,3,7.6,223900.0
3.4,2,14,Full Stack Engineer,3,0,0,4.9,117100.0
2.7,2,20,Frontend Engineer,1,0,6,5.2,144300.0
4.8,2,14,Full Stack Engineer,2,2,3,6.8,168000.0
2.0,2,10,Frontend Engineer,3,4,5,6.1,112600.0
0.5,4,14,Cloud Architect,1,1,2,5.6,190000.0
2.7,2,16,DevOps Engineer,1,1,1,6.7,165400.0
3.0,3,22,Backend Engineer,1,4,4,8.0,191800.0
0.9,2,9,Frontend Engineer,3,3,6,5.7,103900.0
11.0,2,5,Machine Learning Engineer,1,5,4,6.6,286000.0
1.0,2,17,Data Scientist,1,1,7,5.4,151800.0
2.1,2,19,Cloud Architect,2,3,7,7.3,179500.0
0.7,2,10,DevOps Engineer,3,4,5,4.9,115800.0
3.1,3,4,Software Engineer,3,5,0,5.8,118400.0
1.5,1,5,Cloud Architect,2,0,0,4.3,129700.0
2.7,2,12,Backend Engineer,3,4,2,6.6,120800.0
1.0,2,21,Full Stack Engineer,1,0,7,6.0,140100.0
0.2,2,24,Frontend Engineer,1,4,0,7.5,135100.0
6.0,2,23,Backend Engineer,3,3,0,8.3,147300.0
4.1,2,21,DevOps Engineer,2,5,0,7.2,169200.0
1.7,2,21,Data Scientist,1,3,3,7.1,177200.0
0.2,2,13,Cloud Architect,2,5,3,6.3,153600.0
8.0,3,11,Frontend Engineer,3,4,7,6.7,163500.0
0.7,3,24,Machine Learning Engineer,3,0,1,6.9,126600.0
10.7,2,11,Full Stack Engineer,3,4,7,8.5,191700.0
2.6,4,5,Full Stack Engineer,2,0,3,3.4,135100.0
1.7,3,21,Frontend Engineer,3,3,7,6.3,113800.0
5.4,2,14,Cloud Architect,2,2,6,6.3,203500.0
8.4,2,14,Data Scientist,2,1,6,6.7,198500.0
1.9,2,22,Cloud Architect,3,3,4,7.2,142800.0
2.1,2,14,Software Engineer,2,4,6,5.8,132800.0
2.3,3,13,Software Engineer,1,4,5,7.0,179400.0
10.2,3,11,Full Stack Engineer,1,0,1,7.5,233900.0
4.7,3,18,DevOps Engineer,2,1,0,7.0,171200.0
1.1,2,11,DevOps Engineer,1,5,4,6.1,169600.0
0.8,2,22,Data Scientist,1,3,1,7.3,159800.0
1.0,2,4,Full Stack Engineer,1,1,5,3.9,141800.0
1.2,2,23,Software Engineer,1,1,1,5.9,133200.0
1.0,2,6,Full Stack Engineer,2,3,4,5.6,129900.0
4.3,2,24,Cloud Architect,1,0,1,7.1,213800.0
0.5,2,15,Frontend Engineer,1,5,4,6.0,133700.0
2.0,2,19,DevOps Engineer,2,0,1,5.5,137000.0
3.9,3,19,DevOps Engineer,3,0,1,5.8,141400.0
1.4,2,20,Machine Learning Engineer,1,2,6,7.6,192900.0
0.3,3,19,Frontend Engineer,1,1,1,5.6,131800.0
0.3,4,12,Machine Learning Engineer,3,2,4,5.2,131800.0
0.5,3,22,Data Scientist,1,0,1,6.2,152500.0
7.2,3,4,Software Engineer,3,5,7,6.1,149700.0
4.3,2,21,Data Scientist,1,3,6,8.2,210000.0
0.3,2,9,Data Scientist,1,1,5,4.1,142000.0
2.0,3,9,Software Engineer,1,3,5,6.6,165700.0
1.3,3,15,Backend Engineer,1,4,3,6.1,169200.0
3.5,2,6,Backend Engineer,3,1,3,5.5,123400.0
3.0,3,14,Full Stack Engineer,3,3,3,4.8,126200.0
2.6,2,9,Backend Engineer,3,0,3,4.0,118200.0
1.5,2,17,Frontend Engineer,3,2,7,5.8,110600.0
0.6,2,21,DevOps Engineer,3,3,3,5.3,117500.0
5.4,2,19,Machine Learning Engineer,2,5,5,8.5,209300.0
8.5,2,16,DevOps Engineer,3,4,0,8.4,175600.0
11.5,1,4,Data Scientist,1,0,1,5.8,226700.0
0.2,2,9,DevOps Engineer,1,4,5,5.3,159700.0
5.4,3,17,Full Stack Engineer,2,5,5,8.4,189200.0
5.2,2,20,Data Scientist,3,5,2,6.9,151800.0
11.8,1,16,Software Engineer,2,2,0,7.7,190000.0
1.2,2,16,Cloud Architect,3,4,4,6.2,140000.0
5.4,2,12,DevOps Engineer,2,5,6,7.3,199600.0
0.2,2,9,Backend Engineer,2,3,0,5.0,120200.0
4.0,2,9,Cloud Architect,3,5,2,7.1,173700.0
1.7,3,8,Software Engineer,1,5,5,6.2,176400.0
5.9,1,24,Full Stack Engineer,3,3,0,8.7,142700.0
8.0,2,17,Machine Learning Engineer,2,0,1,6.2,195400.0
1.8,3,17,Frontend Engineer,2,2,3,6.2,123200.0
3.0,4,7,Backend Engineer,3,2,1,5.0,127400.0
0.5,2,5,Software Engineer,2,1,0,4.9,112400.0
2.2,2,5,Machine Learning Engineer,2,1,5,4.5,151900.0
1.8,1,20,Cloud Architect,2,3,5,6.3,163700.0
0.8,2,13,DevOps Engineer,1,5,2,6.8,158800.0
9.0,2,17,Backend Engineer,2,4,4,8.8,206500.0
0.6,3,22,Data Scientist,1,5,1,6.8,181700.0
4.0,2,20,Frontend Engineer,3,5,2,7.7,120600.0
8.8,2,14,DevOps Engineer,1,4,4,7.9,244200.0
9.7,2,10,Cloud Architect,2,0,3,7.4,233600.0
6.3,4,12,Machine Learning Engineer,3,2,1,6.7,186700.0
0.8,2,17,Backend Engineer,3,3,5,6.6,113500.0
6.8,2,7,DevOps Engineer,2,4,1,6.4,189100.0
1.3,2,17,Frontend Engineer,2,1,5,5.9,125900.0
10.2,2,23,Machine Learning Engineer,1,3,5,10.0,286400.0
4.9,3,23,Data Scientist,1,0,3,6.8,208700.0
6.2,2,20,Cloud Architect,1,3,3,7.9,245100.0
0.4,2,22,Data Scientist,3,4,0,6.1,116600.0
3.5,1,20,Software Engineer,1,0,4,5.8,148400.0
6.9,3,17,Cloud Architect,2,5,2,8.1,231600.0
7.9,2,16,Full Stack Engineer,1,1,6,6.6,214100.0
0.1,4,17,Software Engineer,2,1,6,6.2,128800.0
11.2,2,19,Frontend Engineer,2,4,3,8.8,195400.0
0.2,2,24,Cloud Architect,3,0,0,6.4,119400.0
3.8,2,18,Software Engineer,1,1,4,6.5,177100.0
4.7,2,22,Machine Learning Engineer,1,0,7,6.8,204000.0
0.5,3,14,Backend Engineer,1,3,4,6.6,169800.0
0.2,3,15,Machine Learning Engineer,1,2,1,4.1,158300.0
6.1,2,14,Software Engineer,2,2,0,6.7,163100.0
1.9,2,8,Full Stack Engineer,1,2,0,4.4,153300.0
0.5,1,11,Machine Learning Engineer,1,1,1,3.6,144000.0
5.8,3,9,Machine Learning Engineer,3,4,6,6.0,174500.0
7.6,2,19,Machine Learning Engineer,2,2,2,7.8,208000.0
3.5,2,15,Full Stack Engineer,1,5,6,6.8,190900.0
0.7,2,9,Cloud Architect,1,4,3,6.0,182000.0
0.1,2,16,Machine Learning Engineer,1,2,5,5.4,167200.0
4.8,3,10,Frontend Engineer,2,3,1,6.1,150700.0
3.2,3,11,Data Scientist,2,2,3,5.5,155900.0
4.2,2,15,Full Stack Engineer,2,4,5,7.0,163800.0
6.7,2,5,Frontend Engineer,1,1,0,5.3,163200.0
2.3,2,12,Full Stack Engineer,2,5,6,6.0,152000.0
0.5,4,16,Full Stack Engineer,2,3,1,6.5,145900.0
11.3,2,20,Cloud Architect,2,4,5,9.0,260200.0
3.2,1,16,Data Scientist,3,0,2,5.5,117000.0
3.8,2,19,Backend Engineer,1,2,3,7.1,179200.0
10.8,2,4,Cloud Architect,1,3,6,7.3,290800.0
10.7,1,10,Cloud Architect,3,1,3,6.6,195500.0
3.4,2,16,Frontend Engineer,1,0,3,6.2,154400.0
1.4,3,17,Full Stack Engineer,1,2,0,6.3,169900.0
20.0,2,24,DevOps Engineer,2,3,6,10.0,290300.0
4.6,2,20,Full Stack Engineer,2,5,5,7.8,178200.0
2.1,2,19,Software Engineer,3,4,3,6.8,112500.0
3.3,2,18,Machine Learning Engineer,1,2,4,6.5,198000.0
2.2,2,20,Backend Engineer,1,3,6,6.1,168600.0
8.8,2,5,Data Scientist,1,2,3,6.4,226300.0
2.6,2,15,DevOps Engineer,2,5,0,7.5,157900.0
6.9,2,6,Frontend Engineer,1,3,1,6.9,184700.0
7.3,2,12,Full Stack Engineer,2,4,3,7.2,184100.0
7.0,2,9,Machine Learning Engineer,1,2,3,7.1,246500.0
5.1,3,9,Frontend Engineer,1,3,1,7.4,184200.0
7.7,2,10,Cloud Architect,2,0,5,5.9,218100.0
2.0,2,11,Data Scientist,3,1,5,5.5,130400.0
0.5,2,6,Backend Engineer,3,5,7,4.0,109800.0
7.4,2,18,Software Engineer,3,3,4,7.2,150200.0
2.8,3,9,Cloud Architect,2,3,0,5.7,175700.0
0.5,2,14,Backend Engineer,1,3,1,5.1,141700.0
0.5,3,6,Cloud Architect,1,2,0,5.7,171700.0
0.7,2,19,Software Engineer,2,5,5,7.3,134700.0
5.6,3,9,Frontend Engineer,1,1,1,6.3,176800.0
5.0,4,14,Backend Engineer,1,5,2,7.4,217900.0
0.9,2,11,Cloud Architect,1,2,4,4.5,174100.0
7.5,3,13,Backend Engineer,2,3,7,7.0,196500.0
1.3,2,13,Backend Engineer,1,5,2,6.5,168200.0
6.3,3,6,Data Scientist,1,3,5,5.8,222900.0
2.7,3,17,Frontend Engineer,2,1,6,6.4,145300.0
5.3,4,22,DevOps Engineer,1,0,1,7.4,202000.0
